Order_ID,Order_Date,Year,Month,Quarter,Country,City,Product,Fuel_Type,Customer_Segment,Sales_Channel,Dealer,Salesperson,Quantity,Unit_Price,Gross_Sales,Discount_Pct,Discount_Amount,Sales,Cost,Profit,Profit_Margin_Pct,Tax_Rate_Pct,Tax,Shipping_Cost,Returns,Customer_Rating,Delivery_Days,Payment_Method
ORD202200001,2022-01-01 00:00:00.000000000,2022,1,Q1,Canada,Toronto,Classic Cars,Petrol,Retail,Dealer,City Motors,Arun,10,73820.0,738200.0,0.6,4429.2,733770.8,551910.97,181859.83,24.78,12.0,88052.5,14108.07,0,3.7,11,UPI
ORD202200002,2022-01-01 14:35:31.776480400,2022,1,Q1,Italy,Berlin,Trains,Petrol,Retail,Direct Sales,Speed Wheels,Sofia,15,55293.72,829405.87,5.3,43958.51,785447.36,544616.21,240831.15,30.66,18.0,141380.53,18745.46,0,4.1,5,Credit Card
ORD202200003,2022-01-02 05:11:03.552960800,2022,1,Q1,Switzerland,Singapore,Trucks and Buses,Petrol,Corporate,Direct Sales,Prime Motors,Ananya,1,48765.6,48765.6,13.6,6632.12,42133.48,31586.96,10546.52,25.03,10.0,4213.35,2049.47,0,3.7,13,UPI
ORD202200004,2022-01-02 19:46:35.329441201,2022,1,Q1,Switzerland,Rome,Classic Cars,Diesel,Corporate,Online,AutoMax,Daniel,13,48438.16,629696.13,13.3,83749.59,545946.54,424107.57,121838.97,22.32,12.0,65513.59,29161.77,0,3.6,13,Credit Card
ORD202200005,2022-01-03 10:22:07.105921601,2022,1,Q1,Spain,Oslo,Vintage Cars,Diesel,Corporate,Distributor,Elite Cars,Rahul,14,40745.04,570430.55,6.1,34796.26,535634.28,423327.22,112307.06,20.97,12.0,64276.11,24453.39,1,4.0,8,Finance
ORD202200006,2022-01-04 00:57:38.882402001,2022,1,Q1,Sweden,Manila,Ships,Hybrid,Corporate,Online,Prime Motors,Vikram,12,66453.3,797439.57,3.2,25518.07,771921.5,560474.42,211447.08,27.39,5.0,38596.08,34981.61,0,4.3,15,Bank Transfer
ORD202200007,2022-01-04 15:33:10.658882402,2022,1,Q1,UK,London,Classic Cars,Petrol,Corporate,Online,Prime Motors,Sneha,8,93375.37,747002.93,15.4,115038.45,631964.48,509076.59,122887.88,19.45,10.0,63196.45,18695.63,1,4.5,7,Finance
ORD202200008,2022-01-05 06:08:42.435362802,2022,1,Q1,Switzerland,Madrid,Vintage Cars,Petrol,Fleet,Dealer,City Motors,Sneha,2,28380.15,56760.29,15.1,8570.8,48189.49,34825.33,13364.16,27.73,18.0,8674.11,1101.0,1,3.2,14,UPI
ORD202200009,2022-01-05 20:44:14.211843202,2022,1,Q1,USA,Brussels,Vintage Cars,Petrol,Retail,Online,Prime Motors,Vikram,15,75861.43,1137921.51,7.9,89895.8,1048025.71,894763.01,153262.7,14.62,10.0,104802.57,45383.85,1,4.5,12,UPI
ORD202200010,2022-01-06 11:19:45.988323603,2022,1,Q1,Australia,Manila,Ships,Hybrid,Retail,Dealer,Elite Cars,Karthik,11,83066.7,913733.7,13.0,118785.38,794948.32,706461.26,88487.06,11.13,18.0,143090.7,37939.41,0,4.1,14,Finance
