Order_ID,Order_Date,Year,Month,Quarter,Country,City,Product,Fuel_Type,Customer_Segment,Sales_Channel,Dealer,Salesperson,Quantity,Unit_Price,Gross_Sales,Discount_Pct,Discount_Amount,Sales,Cost,Profit,Profit_Margin_Pct,Tax_Rate_Pct,Tax,Shipping_Cost,Returns,Customer_Rating,Delivery_Days,Payment_Method
ORD202600001,2026-01-01 00:00:00.000000000,2026,1,Q1,UK,Toronto,Motorcycles,Petrol,Corporate,Direct Sales,Prime Motors,Rahul,9,24480.75,220326.76,5.1,11236.66,209090.1,182641.63,26448.46,12.65,18.0,37636.22,6067.81,0,4.4,2,UPI
ORD202600002,2026-01-01 07:17:09.858215179,2026,1,Q1,Spain,Copenhagen,Planes,Diesel,Corporate,Dealer,Global Auto,Sneha,2,142447.13,284894.25,0.4,1139.58,283754.68,208947.19,74807.49,26.36,18.0,51075.84,14243.94,1,4.1,4,Credit Card
ORD202600003,2026-01-01 14:34:19.716430358,2026,1,Q1,India,Berlin,Trains,Petrol,Corporate,Dealer,Speed Wheels,Sofia,11,73701.03,810711.35,6.2,50264.1,760447.25,653577.31,106869.94,14.05,10.0,76044.72,13888.95,0,3.5,5,Bank Transfer
ORD202600004,2026-01-01 21:51:29.574645537,2026,1,Q1,Switzerland,London,Motorcycles,Petrol,Retail,Online,City Motors,Rahul,13,22766.81,295968.49,2.6,7695.18,288273.31,198171.07,90102.25,31.26,12.0,34592.8,13973.16,0,4.5,2,Bank Transfer
ORD202600005,2026-01-02 05:08:39.432860717,2026,1,Q1,Germany,Berlin,Classic Cars,Hybrid,Fleet,Online,Elite Cars,Meera,13,80878.09,1051415.12,9.1,95678.78,955736.34,728880.87,226855.47,23.74,5.0,47786.82,31250.76,0,4.2,3,UPI
ORD202600006,2026-01-02 12:25:49.291075896,2026,1,Q1,Philippines,Brussels,Trucks and Buses,Petrol,Retail,Direct Sales,City Motors,Karthik,1,53314.01,53314.01,5.8,3092.21,50221.79,34702.15,15519.64,30.9,18.0,9039.92,2260.54,0,3.8,15,Cash
ORD202600007,2026-01-02 19:42:59.149291075,2026,1,Q1,Japan,Helsinki,Vintage Cars,Petrol,Retail,Online,Prime Motors,Meera,3,58348.55,175045.64,10.7,18729.88,156315.76,119090.24,37225.52,23.81,8.0,12505.26,6813.03,0,3.6,9,Bank Transfer
ORD202600008,2026-01-03 03:00:09.007506255,2026,1,Q1,USA,Mumbai,Vintage Cars,Petrol,Corporate,Online,Elite Cars,Priya,14,75966.24,1063527.32,4.0,42541.09,1020986.23,724182.22,296804.01,29.07,18.0,183777.52,17816.96,0,2.5,2,Finance
ORD202600009,2026-01-03 10:17:18.865721434,2026,1,Q1,Finland,Mumbai,Trains,Diesel,Corporate,Dealer,Speed Wheels,Daniel,3,39694.7,119084.11,8.8,10479.4,108604.71,78786.02,29818.68,27.46,18.0,19548.85,3631.13,0,4.2,10,Finance
ORD202600010,2026-01-03 17:34:28.723936613,2026,1,Q1,Singapore,Berlin,Classic Cars,Hybrid,Retail,Online,Elite Cars,Rahul,4,50115.03,200460.12,1.6,3207.36,197252.75,167860.65,29392.11,14.9,12.0,23670.33,9092.86,1,4.5,12,Cash
ORD202600011,2026-01-04 00:51:38.582151793,2026,1,Q1,Austria,London,Vintage Cars,Electric,Retail,Online,Global Auto,Daniel,6,39924.68,239548.07,1.4,3353.67,236194.4,207288.25,28906.15,12.24,10.0,23619.44,8391.66,0,4.0,8,Cash
ORD202600012,2026-01-04 08:08:48.440366972,2026,1,Q1,Italy,Paris,Motorcycles,Electric,Government,Direct Sales,AutoMax,Rahul,6,18841.35,113048.13,10.5,11870.05,101178.07,85247.41,15930.67,15.75,12.0,12141.37,2842.51,1,4.4,6,Cash
ORD202600013,2026-01-04 15:25:58.298582151,2026,1,Q1,Canada,Rome,Classic Cars,Hybrid,Retail,Dealer,City Motors,Vikram,14,62793.58,879110.06,16.6,145932.27,733177.79,540175.17,193002.62,26.32,12.0,87981.33,35530.35,1,4.3,9,UPI
ORD202600014,2026-01-04 22:43:08.156797331,2026,1,Q1,India,Paris,Classic Cars,Petrol,Retail,Direct Sales,City Motors,Karthik,14,71281.91,997946.73,17.5,174640.68,823306.05,680561.27,142744.79,17.34,18.0,148195.09,24503.02,0,3.8,12,Finance
ORD202600015,2026-01-05 06:00:18.015012510,2026,1,Q1,UK,Mumbai,Motorcycles,Hybrid,Retail,Direct Sales,Speed Wheels,Sneha,4,32640.91,130563.66,6.3,8225.51,122338.15,95681.39,26656.76,21.79,8.0,9787.05,6681.76,0,3.6,4,Credit Card
ORD202600016,2026-01-05 13:17:27.873227689,2026,1,Q1,Austria,Tokyo,Motorcycles,Petrol,Retail,Dealer,City Motors,Vikram,7,11898.73,83291.08,6.6,5497.21,77793.87,60968.85,16825.02,21.63,5.0,3889.69,3275.58,0,3.9,9,Credit Card
